"id_paper","YEAR","citedby_count","doctype","source_id","author_id","gender","orden","affil_id","affiliation_name","country_affil","affil_author_count","affil_document_count","org_type"
"2-s2.0-85032677945",2018,0,"Conference Paper","s5100152904","9-s2.0-57194049903","F",3,"9-u2.0-60104441","Universidad de las Americas - Ecuador","Ecuador",387,662,"univ"
"2-s2.0-85045144932",2018,1,"Conference Paper","s5100152904","9-s2.0-57201576771","F",3,"9-u2.0-60072061","Escuela Superior Politecnica del Litoral Ecuador","Ecuador",1054,1618,"resi"
"2-s2.0-85045144932",2018,1,"Conference Paper","s5100152904","9-s2.0-57201576771","F",3,"9-u2.0-60072042","Universidad de Guayaquil","Ecuador",942,821,"univ"
"2-s2.0-85055424370",2018,0,"Conference Paper","s21100218356","9-s2.0-57204394512","M",3,"9-u2.0-60072064","Universidad Tecnica Particular de Loja","Ecuador",983,1450,"univ"
"2-s2.0-85055424370",2018,0,"Conference Paper","s21100218356","9-s2.0-57204396705","F",4,"9-u2.0-60072064","Universidad Tecnica Particular de Loja","Ecuador",983,1450,"univ"
"2-s2.0-85055046726",2018,6,NULL,"s13185","9-s2.0-57195313348","M",3,"9-u2.0-60109350","Universidad Internacional del Ecuador","Ecuador",117,195,"univ"
"2-s2.0-85055046726",2018,6,NULL,"s13185","9-s2.0-57204242571","M",4,"9-u2.0-60104441","Universidad de las Americas - Ecuador","Ecuador",387,662,"univ"
"2-s2.0-85045298617",2018,0,"Conference Paper","s5100152904","9-s2.0-55141247500","F",3,"9-u2.0-60105694","Universidad Estatal Península de Santa Elena","Ecuador",189,202,"univ"
"2-s2.0-85045298617",2018,0,"Conference Paper","s5100152904","9-s2.0-57200377714","M",4,"9-u2.0-116502541","Instituto Politécnico da Maia","Portugal",3,11,NULL
"2-s2.0-85059014524",2018,0,"Conference Paper","s21100892576","9-s2.0-57205197992","M",3,"9-u2.0-60072064","Universidad Tecnica Particular de Loja","Ecuador",983,1450,"univ"
"2-s2.0-85059014524",2018,0,"Conference Paper","s21100892576","9-s2.0-57209240916","F",4,"9-u2.0-60072054","Escuela Politécnica Nacional","Ecuador",1031,1861,"univ"
"2-s2.0-85025820192",2018,0,"Conference Paper","s5100152904","9-s2.0-15122856600","M",3,"9-u2.0-60110666","Universidad Técnica Estatal de Quevedo","Ecuador",261,265,"univ"
"2-s2.0-85025820192",2018,0,"Conference Paper","s5100152904","9-s2.0-15122856600","M",3,"9-u2.0-60110504","Universidad Estatal de Milagro","Ecuador",131,135,"univ"
"2-s2.0-85025820192",2018,0,"Conference Paper","s5100152904","9-s2.0-22333640600","M",4,"9-u2.0-60033284","University of Seville","Spain",11245,51621,"univ"
